DATE,SIZE AFTER UPD,INSERTS,EDITS
25/4/2023,28827,28827,0
26/4/2023,34325,5498,1279
27/4/2023,35674,1349,595
28/4/2023,37061,1387,675
29/4/2023,40983,3922,460
30/4/2023,42330,1347,1070
2/5/2023,1072,1072,0
3/5/2023,2775,1703,236
4/5/2023,4141,1366,442
5/5/2023,5508,1367,357
6/5/2023,6877,1369,331
7/5/2023,8246,1369,361
8/5/2023,9615,1369,255
9/5/2023,10982,1367,471
10/5/2023,12349,1367,434
11/5/2023,13700,1351,545
12/5/2023,15079,1379,452
13/5/2023,16455,1376,469
14/5/2023,17817,1362,812
15/5/2023,19161,1344,544
16/5/2023,20490,1329,600
17/5/2023,21762,1272,364
18/5/2023,23021,1259,442
19/5/2023,24290,1269,373
20/5/2023,25537,1247,452
21/5/2023,26788,1251,703
22/5/2023,28086,1298,282
23/5/2023,30223,2137,432
24/5/2023,31767,1544,400
25/5/2023,33221,1454,424
26/5/2023,34695,1474,1789
27/5/2023,36194,1499,422
28/5/2023,37669,1475,915
29/5/2023,39141,1472,381
30/5/2023,40618,1477,627
31/5/2023,41685,1067,655
1/6/2023,64,64,0
2/6/2023,1460,1396,3
3/6/2023,2933,1473,367
4/6/2023,4290,1357,295
5/6/2023,5608,1318,253
6/6/2023,7178,1570,398
7/6/2023,8593,1415,368
8/6/2023,10006,1413,353
9/6/2023,11410,1404,305
10/6/2023,12837,1427,380
11/6/2023,12837,1305,340
12/6/2023,15581,1439,315
13/6/2023,17084,1503,494
