Date,FileSize KB,Influx Full Ingestion,Influx Full Query,Influx Empty Ingestion,Influx Empty Query,Influx Full Empty Ingestion,Influx Full Empty Query
25/4,9113.6,114,22,99,7,132,17
26/4,11264,106,13,106,7,106,10
27/4,11264,104,12,101,7,107,11
28/4,12288,110,12,103,7,117,11
29/4,13312,122,45,115,7,153,10
30/4,13312,120,11,125,7,125,11
2/5,344,11,18,8,8,9,21
3/5,880,12,14,11,7,12,11
4/5,1331.2,21,12,15,8,16,9
5/5,1740.8,19,11,21,7,23,10
6/5,2252.8,23,11,22,6,38,26
7/5,2662.4,27,12,26,6,28,8
8/5,3072,45,11,29,7,36,9
9/5,3481.6,35,11,32,6,37,9
10/5,3891.2,45,10,45,6,45,9
11/5,4403.2,40,10,38,8,38,9
12/5,4812.8,54,11,49,6,60,8
13/5,5222.4,45,11,51,6,45,8
14/5,5632,58,11,60,6,59,11
15/5,6041.6,57,12,54,8,54,9
16/5,6451.2,65,12,64,6,66,9
17/5,6860.8,69,18,58,6,60,9
18/5,7270.4,61,12,70,8,73,9
19/5,7680,74,10,219,9,78,9
20/5,8089.6,80,11,76,6,76,8
21/5,8499.2,69,12,68,6,137,10
22/5,8908.8,85,22,88,7,84,9
23/5,9523.2,92,11,91,6,88,8
24/5,10035.2,94,12,97,7,91,8
25/5,11264,100,13,96,7,94,9
26/5,11264,101,11,98,7,97,8
27/5,12288,102,12,102,6,103,9
28/5,12288,110,10,108,6,111,8
29/5,12288,117,12,114,6,115,10
30/5,13312,119,11,117,7,120,9
31/5,13312,124,12,117,7,119,9
1/6,28,3,13,2,7,2,10
2/6,460,8,13,7,8,11,10
3/6,920,15,13,16,9,11,10
4/6,1433.6,16,12,17,6,16,10
5/6,1843.2,35,20,19,7,25,9
6/6,2252.8,23,16,22,13,24,8
7/6,2764.8,26,12,26,7,26,8
8/6,3174.4,28,11,28,6,29,9
9/6,3584,32,11,47,7,45,9
10/6,4096,46,11,35,8,40,9
11/6,4096,34,10,45,7,47,8
12/6,4915.2,44,15,42,7,49,12
13/6,5427.2,58,10,55,7,109,10
