Date,FileSize KB,MySQL Measurement,Druid Full Ingestion,Druid Full Query,Influx Full Ingestion,Influx Full Query
25/4,9113.6,6753.5,4579,54,114,22
26/4,11264,8181.6,4973,56,106,13
27/4,11264,8353.1,5179,36,104,12
28/4,12288,8808.4,4733,40,110,12
29/4,13312,9949.3,5072,63,122,45
30/4,13312,10066.3,4874,70,120,11
2/5,344,953.4,3847,48,11,18
3/5,880,1161.89,4596,77,12,14
4/5,1331.2,1457.2,4906,51,21,12
5/5,1740.8,1714.5,4258,77,19,11
6/5,2252.8,2036.6,4905,68,23,11
7/5,2662.4,2289.7,3982,56,27,12
8/5,3072,2673.6,4821,89,45,11
9/5,3481.6,2907.6,4237,59,35,11
10/5,3891.2,3204.8,4643,77,45,10
11/5,4403.2,3582.7,4399,65,40,10
12/5,4812.8,3857.2,5165,57,54,11
13/5,5222.4,4228.7,4326,54,45,11
14/5,5632,4644,5006,60,58,11
15/5,6041.6,4799.1,4115,78,57,12
16/5,6451.2,5068.6,4478,54,65,12
17/5,6860.8,5318,4562,81,69,18
18/5,7270.4,5855.4,4428,80,61,12
19/5,7680,6013.3,5194,81,74,10
20/5,8089.6,6218.5,4635,57,80,11
21/5,8499.2,6801.1,4334,56,69,12
22/5,8908.8,6804.2,4434,81,85,22
23/5,9523.2,7330.5,4936,79,92,11
24/5,10035.2,7995,5007,80,94,12
25/5,11264,8090.8,5777,81,100,13
26/5,11264,8423.5,5707,57,101,11
27/5,12288,8702.3,4678,57,102,12
28/5,12288,9227.5,5179,55,110,10
29/5,12288,9529.1,5343,54,117,12
30/5,13312,10468.7,4754,54,119,11
31/5,13312,10248.2,6191,55,124,12
1/6,28,868.1,3567,53,3,13
2/6,460,1021.3,3866,55,8,13
3/6,920,1322.6,3955,56,15,13
4/6,1433.6,1599.39,3660,51,16,12
5/6,1843.2,1890.1,4905,81,35,20
6/6,2252.8,2229.4,4617,53,23,16
7/6,2764.8,2497.7,4223,80,26,12
8/6,3174.4,2896.7,3900,51,28,11
9/6,3584,3279.4,4845,82,32,11
10/6,4096,3502.2,4477,81,46,11
11/6,4096,3446,4852,52,34,10
12/6,4915.2,4196.7,4381,53,44,15
13/6,5427.2,4543.9,4846,57,58,10
